RatingReferenceNumber,PremiseID,PremiseName,StarRatingWithGreenPower,StarRatingWithoutGreenPower,PremiseType,StreetNumber,StreetName,Suburb,State,Postcode,Latitude,Longitude,GNAFLGA,StarRating,CertificateValidTo,RatingType,RatingScope
N49958,521,ABS House,4 Stars,4 Stars,Office,45,Benjamin Way,BELCONNEN,ACT,2617,-35.24060206,149.0678074,,4 Stars,2018-12-29 0:00:00,Water,Base Building
N49958,521,ABS House,4.5 Stars,4.5 Stars,Office,45,Benjamin Way,BELCONNEN,ACT,2617,-35.24060206,149.0678074,,4.5 Stars,2018-12-29 0:00:00,Energy,Base Building
N49914,6230,Acton East,5 Stars,5 Stars,Office,23,Marcus Clarke Street,CANBERRA,ACT,2601,NULL,NULL,NULL,5 Stars,2018-11-22 0:00:00,Energy,Tenancy
N49955,6230,Acton East,4.5 Stars,4.5 Stars,Office,23,Marcus Clarke Street,CANBERRA,ACT,2601,NULL,NULL,NULL,4.5 Stars,2018-11-30 0:00:00,Energy,Base Building
N49622,7607,Administration Building,3 Stars,3 Stars,Office,19a,Belmore Terrace,WOODVILLE,SA,5011,-34.88007851,138.5429387,CITY OF CHARLES STURT,3 Stars,2018-10-10 0:00:00,Energy,Whole Building
N47905,1436,Admiralty Tower Building,4.5 Stars,4.5 Stars,Office,68,Esplanade,DARWIN CITY,NT,800,-12.46489848,130.8402637,DARWIN MUNICIPALITY,4.5 Stars,2018-04-30 0:00:00,Energy,Base Building
N09095,4893,AFP Building,0 Star,0 Star,Office,4,Pederson Road,EATON,NT,820,NULL,NULL,NULL,0 Star,2018-07-11 0:00:00,Energy,Whole Building
N48515,6397,AFP Building,4 Stars,4 Stars,Office,5,Arthur Butler Parade,Bilinga,QLD,4225,-27.64503388,153.1779581,LOGAN CITY,4 Stars,2018-06-19 0:00:00,Energy,Base Building
N49828,6280,AFP Cairns Airport Operations Centre,3.5 Stars,3.5 Stars,Office,420-422,Sheridan Street,CAIRNS NORTH,QLD,4870,-16.89621912,145.7558765,CAIRNS REGIONAL,3.5 Stars,2018-12-18 0:00:00,Energy,Whole Building
N47778,6298,AFP House,3.5 Stars,3.5 Stars,Office,2,Francis Briggs Road,Melbourne Airport,VIC,3045,-37.71939926,144.8663709,BRIMBANK CITY,3.5 Stars,2018-03-10 0:00:00,Energy,Base Building
N46770,4959,AHM Building,4 Stars,4 Stars,Office,77,Market Street,WOLLONGONG,NSW,2500,NULL,NULL,NULL,4 Stars,2018-08-18 0:00:00,Energy,Base Building
N48634,6415,Airport Central,3 Stars,3 Stars,Office,1,Eastern Avenue,BILINGA,QLD,4225,-28.16349554,153.5126201,GOLD COAST CITY,3 Stars,2018-07-31 0:00:00,Energy,Whole Building
N49908,2628,Aitkenvale DHS Office,5 Stars,5 Stars,Office,307-311,Ross River Road,AITKENVALE,QLD,4814,-19.2970233,146.7646013,TOWNSVILLE CITY,5 Stars,2018-11-09 0:00:00,Energy,Whole Building
N49608,3232,Alan Woods Building,4.5 Stars,4.5 Stars,Office,25,Constitution Avenue,CANBERRA,ACT,2601,NULL,NULL,NULL,4.5 Stars,2018-09-28 0:00:00,Water,Base Building
N49608,3232,Alan Woods Building,5 Stars,5 Stars,Office,25,Constitution Avenue,CANBERRA,ACT,2601,NULL,NULL,NULL,5 Stars,2018-09-28 0:00:00,Energy,Base Building
N48070,427,Albert Facey House,5 Stars,5 Stars,Office,469,Wellington Street,PERTH,WA,6000,-31.95184,115.85898,CITY OF PERTH,5 Stars,2018-04-07 0:00:00,Energy,Base Building
N51063,2900,Albury DHS Office,4.5 Stars,4.5 Stars,Office,430,Wilson Street,ALBURY,NSW,2640,-36.07695525,146.9236079,ALBURY CITY COUNCIL,4.5 Stars,2018-12-05 0:00:00,Energy,Whole Building
N48286,1960,Alcoa Building,3.5 Stars,3.5 Stars,Office,576,Marmion Street,BOORAGOON,WA,6154,-32.03609,115.83308,NULL,3.5 Stars,2018-04-04 0:00:00,Energy,Base Building
N49997,7674,Alcoa Regional Office,0 Star,0 Star,Office,1874,Pinjarra Road,PINJARRA,WA,6208,-32.62622943,115.8681998,SHIRE OF MURRAY,0 Star,2018-12-04 0:00:00,Water,Whole Building
N49997,7674,Alcoa Regional Office,4.5 Stars,4.5 Stars,Office,1874,Pinjarra Road,PINJARRA,WA,6208,-32.62622943,115.8681998,SHIRE OF MURRAY,4.5 Stars,2018-12-04 0:00:00,Energy,Whole Building
N46389,1984,Allendale Square,3 Stars,3 Stars,Office,77,St Georges Terrace,PERTH,WA,6000,NULL,NULL,NULL,3 Stars,2018-03-08 0:00:00,Water,Base Building
N46389,1984,Allendale Square,3.5 Stars,3.5 Stars,Office,77,St Georges Terrace,PERTH,WA,6000,NULL,NULL,NULL,3.5 Stars,2018-03-08 0:00:00,Energy,Base Building
N51024,5033,Allianz Building,3.5 Stars,3.5 Stars,Office,89,Pirie Street,ADELAIDE,SA,5000,NULL,NULL,NULL,3.5 Stars,2018-12-01 0:00:00,Energy,Base Building
N48796,5158,Allianz Centre,4.5 Stars,4.5 Stars,Office,55,Currie Street,ADELAIDE,SA,5000,-34.92491973,138.5971197,ADELAIDE CITY COUNCIL,4.5 Stars,2018-07-28 0:00:00,Energy,Base Building
N49745,3691,Alluvion,4 Stars,4 Stars,Office,54-58,Mounts Bay Road,PERTH,WA,6000,NULL,NULL,NULL,4 Stars,2018-11-08 0:00:00,Water,Base Building
N49745,3691,Alluvion,5 Stars,5 Stars,Office,54-58,Mounts Bay Road,PERTH,WA,6000,NULL,NULL,NULL,5 Stars,2018-11-08 0:00:00,Energy,Base Building
N49082,4970,Alpha Building,0 Star,0 Star,Office,2,George Wiencke Drive,PERTH AIRPORT,WA,6105,NULL,NULL,NULL,0 Star,2018-08-25 0:00:00,Water,Base Building
N49082,4970,Alpha Building,3 Stars,3 Stars,Office,2,George Wiencke Drive,PERTH AIRPORT,WA,6105,NULL,NULL,NULL,3 Stars,2018-08-25 0:00:00,Energy,Base Building
N48852,3707,Altitude Business Park,5 Stars,5 Stars,Office,163-175,O'Riordan Street,MASCOT,NSW,2020,NULL,NULL,NULL,5 Stars,2018-07-07 0:00:00,Energy,Base Building
N21721,4185,Altona Gate,3.5 Stars,3.5 Stars,Shopping Centre,124-134,Millers Road,ALTONA NORTH,VIC,3025,NULL,NULL,NULL,3.5 Stars,2018-04-27 0:00:00,Energy,NULL
N21721,4185,Altona Gate,4 Stars,4 Stars,Shopping Centre,124-134,Millers Road,ALTONA NORTH,VIC,3025,NULL,NULL,NULL,4 Stars,2018-04-27 0:00:00,Water,NULL
N48886,4784,AM60 Building,4 Stars,4 Stars,Office,42-60,Albert Street,BRISBANE CITY,QLD,4000,-27.4726473,153.0277596,BRISBANE CITY,4 Stars,2018-08-01 0:00:00,Water,Base Building
N48886,4784,AM60 Building,5 Stars,5 Stars,Office,42-60,Albert Street,BRISBANE CITY,QLD,4000,-27.4726473,153.0277596,BRISBANE CITY,5 Stars,2018-08-01 0:00:00,Energy,Base Building
N49891,6264,AMA House,3 Stars,3 Stars,Office,42,Macquarie Street,BARTON,ACT,2600,-35.30733338,149.1356106,,3 Stars,2018-12-18 0:00:00,Energy,Base Building
N49574,1691,American Express House,5.5 Stars,5.5 Stars,Office,12,Shelley Street,SYDNEY,NSW,2000,-33.86633802,151.2028921,COUNCIL OF THE CITY OF SYDNEY,5.5 Stars,2018-10-25 0:00:00,Indoor Environment,Base Building
N49735,1691,American Express House,4 Stars,4 Stars,Office,12,Shelley Street,SYDNEY,NSW,2000,-33.86633802,151.2028921,COUNCIL OF THE CITY OF SYDNEY,4 Stars,2018-10-28 0:00:00,Water,Base Building
N49735,1691,American Express House,5 Stars,5 Stars,Office,12,Shelley Street,SYDNEY,NSW,2000,-33.86633802,151.2028921,COUNCIL OF THE CITY OF SYDNEY,5 Stars,2018-10-28 0:00:00,Energy,Base Building
N49688,6133,AMP,4 Stars,4 Stars,Office,70,Hindmarsh Square,ADELAIDE,SA,5000,-34.92509373,138.6068064,ADELAIDE CITY COUNCIL,4 Stars,2018-10-27 0:00:00,Energy,Tenancy
N49952,7545,AMP Advice,5 Stars,5 Stars,Office,2124,Gold Coast Highway,MIAMI,QLD,4220,-28.06618218,153.4391593,GOLD COAST CITY,5 Stars,2018-11-08 0:00:00,Energy,Whole Building
N49117,6293,AMP Centre,3.5 Stars,3.5 Stars,Office,50,Bridge Street,Sydney,NSW,2000,NULL,NULL,NULL,3.5 Stars,2018-09-11 0:00:00,Water,Base Building
N49117,6293,AMP Centre,4.5 Stars,4.5 Stars,Office,50,Bridge Street,Sydney,NSW,2000,NULL,NULL,NULL,4.5 Stars,2018-09-11 0:00:00,Energy,Base Building
N49204,1797,AMP Centre,4 Stars,4 Stars,Office,750,Collins Street,DOCKLANDS,VIC,3008,-37.82013169,144.9488167,MELBOURNE CITY,4 Stars,2018-05-31 0:00:00,Energy,Tenancy
N51010,1797,AMP Centre,4.5 Stars,4.5 Stars,Office,750,Collins Street,DOCKLANDS,VIC,3008,-37.82013169,144.9488167,MELBOURNE CITY,4.5 Stars,2019-01-28 0:00:00,Water,Base Building
